source,name,price,seller,link,scraped_at
flipkart,"HP Smart Tank All in One 523 Multi-function WiFi Color ... 4 Ink Bottles Included 4.2 (16,591)",10999,,https://www.flipkart.com/hp-smart-tank-all-one-523-multi-function-wifi-color-ink-printer-color-page-cost-0-25-rs-black-0-12-borderless-printing-print-copy-scan-up-12-ipm-mono-5-ppm-color-yield-4-000-6-000-pages/p/itm89357b6858559,2026-09-20T08:06:10.149808+00:00
flipkart,brother DCP-T436W Multi-function WiFi Color Ink Tank Pr... 4 Ink Bottles Included 4.1 (383),13999,,https://www.flipkart.com/brother-dcp-t436w-multi-function-wifi-color-ink-tank-printer-color-page-cost-0-24-rs-black-0-09-borderless-printing-print-copy-scan-up-16-ipm-mono-9-color-yield-7-500-5-000-pages-ideal-home/p/itmabb627cfafff2,2026-09-20T08:06:10.149832+00:00
flipkart,"Di CARTRIDGE 278A Single Function Color Ink-Efficient P... Ink Bottle, 1 Ink Bottle Included",717,,https://www.flipkart.com/di-cartridge-278a-single-function-color-ink-efficient-printer/p/itmcf159dd6e2f3a,2026-09-20T08:06:10.149835+00:00
flipkart,"Canon PIXMA E3370 Multi-function WiFi Color Inkjet Prin... Ink Cartridge 3.9 (18,141)",6299,,https://www.flipkart.com/canon-pixma-e3370-multi-function-wifi-color-inkjet-printer-voice-activated-printing-google-assistant-alexa-color-page-cost-5-5-rs-black-2-5-borderless-printing-print-copy-scan-up-7-7-ipm-mono-4-4-color-yield-400-180-pages/p/itm2e6c7d964ef40,2026-09-20T08:06:10.149837+00:00
flipkart,"HP DeskJet Ink Advantage 2338 Multi-function Color Inkj... Ink Cartridge, 1 Ink Bottle Included 3.7 (1,237)",5499,,https://www.flipkart.com/hp-deskjet-ink-advantage-2338-multi-function-color-inkjet-printer-color-page-cost-6-8-rs-black-2-rs-print-copy-scan-up-7-5-ipm-mono-5-5-color-yield-240-75-pages-ideal-home/p/itm89ae2879dd23f,2026-09-20T08:06:10.149840+00:00
flipkart,Epson L3360 Multi-function WiFi Color Ink Tank Printer ... 4 Ink Bottles Included 4.4 (17),17499,,https://www.flipkart.com/epson-l3360-multi-function-wifi-color-ink-tank-printer-color-page-cost-0-33-rs-black-0-09-borderless-printing/p/itm191cdf7295e9c,2026-09-20T08:06:10.149842+00:00
flipkart,"HP DeskJet Ink Advantage 2878 All-in-One Multi-function... Ink Cartridge 3.6 (1,583)",6299,,https://www.flipkart.com/hp-deskjet-ink-advantage-2878-all-in-one-multi-function-wifi-color-inkjet-printer-color-page-cost-6-5-rs-black-1-95-rs-print-copy-scan-up-7-5-ipm-mono-5-5-color-ideal-home/p/itm1ecc4a99e793d,2026-09-20T08:06:10.149845+00:00
flipkart,brother DCP-T236 Multi-function Color Ink Tank Printer ... 4 Ink Bottles Included 3.9 (114),12449,,https://www.flipkart.com/brother-dcp-t236-multi-function-color-ink-tank-printer-color-page-cost-0-3-rs-black-0-12-borderless-printing-print-copy-scan-up-16-ipm-mono-9-color-yield-7-500-5-000-pages-150-sheet-paper-tray-ideal-home/p/itm32e6dc94c6cfd,2026-09-20T08:06:10.149847+00:00
flipkart,"brother HL-L2321D IND Single Function Monochrome Laser ... Toner Cartridge, 1 Toner Cartridge Included 4.4 (5,597)",12749,,https://www.flipkart.com/brother-hl-l2321d-ind-single-function-monochrome-laser-printer-auto-duplex-feature/p/itmd7f233b006e31,2026-09-20T08:06:10.149850+00:00
flipkart,"Epson L3200 Multi-function Color Ink Tank Printer with ... 4 Ink Bottles Included 4.3 (21,784)",11999,,https://www.flipkart.com/epson-l3200-multi-function-color-ink-tank-printer-voice-activated-printing-google-assistant-alexa-color-page-cost-0-33-rs-black-0-09-borderless-printing-print-copy-scan-up-10-ipm-mono-5-color-yield-4-500-7-500-pages/p/itma27d0926a8858,2026-09-20T08:06:10.149852+00:00
