source,name,price,price_type,seller,link,scraped_at
gem,ADDLER Dental Chair,300000.00,fixed,OEM,https://mkp.gem.gov.in/dental-chair/addler-dental-chair/p-5116877-81887786804-cat.html,2026-09-20T08:17:37.661897+00:00
gem,Chromadent Dental Equipments Dental Chair,300000.00,fixed,OEM,https://mkp.gem.gov.in/dental-chair/chromadent-callisto-fully-electrical-dental-chair/p-5116877-76569901246-cat.html,2026-09-20T08:17:37.661935+00:00
gem,DTW Dental Chair,300000.00,fixed,OEM,https://mkp.gem.gov.in/dental-chair/dental-chair/p-5116877-32641568624-cat.html,2026-09-20T08:17:37.661945+00:00
gem,DAOS Dental Chair,300000.00,fixed,OEM,https://mkp.gem.gov.in/dental-chair/daos-dental-chair/p-5116877-63213276259-cat.html,2026-09-20T08:17:37.661954+00:00
gem,PUTEX Dental Chair,300000.00,fixed,OEM,https://mkp.gem.gov.in/dental-chair/dental-chair/p-5116877-65745545800-cat.html,2026-09-20T08:17:37.661962+00:00
gem,sk dent india Dental Chair,300000.00,fixed,OEM,https://mkp.gem.gov.in/dental-chair/dental-chair/p-5116877-39428431475-cat.html,2026-09-20T08:17:37.661970+00:00
gem,hsms Dental Chair,300000.00,fixed,OEM,https://mkp.gem.gov.in/dental-chair/dental-chair/p-5116877-12939180218-cat.html,2026-09-20T08:17:37.661975+00:00
gem,Laavanya  3D Dental India Dental Chair,300000.00,fixed,OEM,https://mkp.gem.gov.in/dental-chair/dental-chair/p-5116877-36261258813-cat.html,2026-09-20T08:17:37.661981+00:00
gem,GAURAV FURNITURE GAURAV FURNITURE Mid back …,1500.00,fixed,OEM,https://mkp.gem.gov.in/chair-general-purpose/chair-general-purpose/p-5116877-51796337063-cat.html,2026-09-20T08:17:40.641781+00:00
gem,KnK Mid back Chair With Without Armrest,1500.00,fixed,OEM,https://mkp.gem.gov.in/chair-general-purpose/study-chair/p-5116877-84304158367-cat.html,2026-09-20T08:17:40.641802+00:00
gem,NEW SUPER STEEL FURNITURE NEW SUPER STEEL …,1500.00,fixed,OEM,https://mkp.gem.gov.in/chair-general-purpose/chair-general-purpose/p-5116877-71214186785-cat.html,2026-09-20T08:17:40.641806+00:00
gem,LP Mid back Chair With Fixed armrest without …,1500.00,fixed,OEM,https://mkp.gem.gov.in/chair-general-purpose/chair-general-purpose/p-5116877-30711653233-cat.html,2026-09-20T08:17:40.641815+00:00
gem,LP Mid back Chair With Fixed armrest with …,1500.00,fixed,OEM,https://mkp.gem.gov.in/chair-general-purpose/chair-general-purpose/p-5116877-84996618043-cat.html,2026-09-20T08:17:40.641826+00:00
gem,Krafterio Mid back Chair With Without Armrest,1500.00,fixed,OEM,https://mkp.gem.gov.in/chair-general-purpose/dining-chair/p-5116877-65513430891-cat.html,2026-09-20T08:17:40.641829+00:00
gem,Outlook Furniture Low back Chair With …,1500.00,fixed,Resellers,https://mkp.gem.gov.in/chair-general-purpose/chair-without-wheels-general-purpose/p-5116877-94775156846-cat.html,2026-09-20T08:17:40.641834+00:00
gem,NERBUDDA Mid back Chair With Fixed armrest …,1500.00,fixed,OEM,https://mkp.gem.gov.in/chair-general-purpose/chair/p-5116877-86696687311-cat.html,2026-09-20T08:17:40.641838+00:00
gem,srishaktisolutions Mid back Chair With Fixed …,1500.00,fixed,OEM,https://mkp.gem.gov.in/chair-general-purpose/chair-general-purpose/p-5116877-30789998160-cat.html,2026-09-20T08:17:40.641841+00:00
gem,PAHWA Low back Chair With Without Armrest,1500.00,fixed,OEM,https://mkp.gem.gov.in/chair-general-purpose/pahwa-chair/p-5116877-88806458141-cat.html,2026-09-20T08:17:40.641845+00:00
gem,Outlook Furniture Low back Chair With Fixed …,1500.00,fixed,Resellers,https://mkp.gem.gov.in/chair-without-wheels-general-purpose/office-chair/p-5116877-57866570528-cat.html,2026-09-20T08:17:40.641851+00:00
gem,K.E OFFICE FURNITURE KRISHNA ENTERPRISES Mid …,2500.00,fixed,OEM,https://mkp.gem.gov.in/revolving-chair-v5/revolving-chair/p-5116877-33145070867-cat.html,2026-09-20T08:17:43.740611+00:00
