gem_id,gem_name,gem_slug,gem_price,query_primary,query_fallback,fk_name,fk_price,similarity,scorer,matched,cosine_ok,model_token_match,pack_match,form_match,gem_form,fk_form,gem_tokens,fk_tokens,gem_pack,fk_pack,decision,reason
2,LAPCARE Wired Computer Mouse,lapcare-l70-plus,250.0,lapcare l70 plus,,"LAPCARE L-70 Plus / 1200 DPI Wired Ambidextrous Optical... USB 2.0, Black 3.9 (38)",199.0,0.6341,embedding,YES,True,True,True,True,,,70 l70,0 1200 200 38 70 8,1,1,ACCEPT,accept
2,LAPCARE Wired Computer Mouse,lapcare-l70-plus,250.0,lapcare l70 plus,,LAPCARE BIS Certified Compatible Laptop Battery for HP ... 3.3 (9),1409.0,0.423,embedding,NO,False,False,True,True,,laptop,70 l70,bis certified,1,1,REJECT,"cosine 0.423 < 0.6; no model token overlap ({'l70', '70'} vs {'bis', 'certified'})"
3,fingers Wired Computer Mouse,superhit-wired,250.0,fingers superhit wired,,FINGERS SoundReflex W5 Wired 3.9 (112),325.0,0.5734,embedding,NO,False,False,True,True,,,superhit,112 5 soundreflex w5,1,1,REJECT,"cosine 0.573 < 0.6; no model token overlap ({'superhit'} vs {'w5', 'soundreflex', '5', '112'})"
3,fingers Wired Computer Mouse,superhit-wired,250.0,fingers superhit wired,,FINGERS SoundBoomerang Wired 3.8 (203),345.0,0.5641,embedding,NO,False,False,True,True,,,superhit,03 203 soundboomerang,1,1,REJECT,"cosine 0.564 < 0.6; no model token overlap ({'superhit'} vs {'03', '203', 'soundboomerang'})"
3,fingers Wired Computer Mouse,superhit-wired,250.0,fingers superhit wired,,FINGERS SoundGlitz Wired 3.8 (125),299.0,0.5616,embedding,NO,False,False,True,True,,,superhit,125 25 soundglitz,1,1,REJECT,"cosine 0.562 < 0.6; no model token overlap ({'superhit'} vs {'soundglitz', '25', '125'})"
3,fingers Wired Computer Mouse,superhit-wired,250.0,fingers superhit wired,,FINGERS SoundGlitz2 Wired 3.5 (38),345.0,0.5474,embedding,NO,False,False,True,True,,,superhit,2 38 8 soundglitz2,1,1,REJECT,"cosine 0.547 < 0.6; no model token overlap ({'superhit'} vs {'soundglitz2', '2', '8', '38'})"
3,fingers Wired Computer Mouse,superhit-wired,250.0,fingers superhit wired,,FINGERS SoundBoss Wired 3.6 (132),325.0,0.4812,embedding,NO,False,False,True,True,,,superhit,132 32 soundboss,1,1,REJECT,"cosine 0.481 < 0.6; no model token overlap ({'superhit'} vs {'132', 'soundboss', '32'})"
4,LAPCARE Wireless Computer Mouse,lapcare-safari-iii-lwm-003,250.0,lapcare safari iii lwm 003,lapcare safari iii,"LAPCARE LWC-012 WEBCAM HD 720M P, HD Webcam 720p, with ... Black 3.6 (54)",849.0,0.485,embedding,NO,False,False,True,True,,,003 iii lwm safari,012 12 4 54 720m 720p hd lwc,1,1,REJECT,"cosine 0.485 < 0.6; no model token overlap ({'safari', 'lwm', '003', 'iii'} vs {'720m', '4', 'hd', '54', 'lwc', '720p', '012', '12'})"
4,LAPCARE Wireless Computer Mouse,lapcare-safari-iii-lwm-003,250.0,lapcare safari iii lwm 003,lapcare safari iii,LAPCARE LSOBTSI2313 6 Cell Laptop Battery,3169.0,0.4436,embedding,NO,False,False,True,True,,laptop,003 iii lwm safari,2313 cell lsobtsi2313,1,1,REJECT,"cosine 0.444 < 0.6; no model token overlap ({'safari', 'lwm', '003', 'iii'} vs {'cell', 'lsobtsi2313', '2313'})"
4,LAPCARE Wireless Computer Mouse,lapcare-safari-iii-lwm-003,250.0,lapcare safari iii lwm 003,lapcare safari iii,LAPCARE ZWJL7R4 6 Cell Laptop Battery 3.2 (6),1350.0,0.4254,embedding,NO,False,False,True,True,,laptop,003 iii lwm safari,4 cell zwjl7r4,1,1,REJECT,"cosine 0.425 < 0.6; no model token overlap ({'safari', 'lwm', '003', 'iii'} vs {'cell', '4', 'zwjl7r4'})"
5,hp Wired Computer Mouse,hp-115-wired-mouse-india,250.0,hp 115 wired mouse,hp 115 wired,HP 115 USB SET OF 4 Wired Ambidextrous Optical Mouse,1349.0,0.7105,embedding,NO,True,True,False,True,,,115,115,1,4,REJECT,pack mismatch (gem=1 vs fk=4)
5,hp Wired Computer Mouse,hp-115-wired-mouse-india,250.0,hp 115 wired mouse,hp 115 wired,"HP 115 / 1600 DPI Optical Tracking, Ambidextrous Wired ... 4.4 (81)",448.0,0.52,embedding,NO,False,True,True,True,,,115,1 115 1600 600 81,1,1,REJECT,cosine 0.520 < 0.6
7,ProDot Wired Computer Mouse,prodot-mu-curvy-usb-wired,250.0,prodot mu curvy usb wired,prodot mu curvy,"PRODOT Curvy USB Wired Mouse 1000 DPI Wired Ergonomic L... USB 2.0, USB 3.0, Black",248.0,0.8472,embedding,YES,True,True,True,True,,,curvy mu,000 1000 curvy,1,1,ACCEPT,accept
7,ProDot Wired Computer Mouse,prodot-mu-curvy-usb-wired,250.0,prodot mu curvy usb wired,prodot mu curvy,PRODOT 217 Mini Wired Keyboard And Mouse Combo With USB... Black 3.5 (42),554.0,0.7926,embedding,NO,True,False,False,True,,,curvy mu,17 2 217 42,1,bundle,REJECT,"no model token overlap ({'mu', 'curvy'} vs {'217', '42', '2', '17'}); pack mismatch (gem=1 vs fk=bundle)"
7,ProDot Wired Computer Mouse,prodot-mu-curvy-usb-wired,250.0,prodot mu curvy usb wired,prodot mu curvy,"PRODOT 253 PS2 Wired Ambidextrous Optical Mouse PS/2, Black 4 (15)",246.0,0.7197,embedding,NO,True,False,True,True,,,curvy mu,15 253 5 53,1,1,REJECT,"no model token overlap ({'mu', 'curvy'} vs {'53', '15', '253', '5'})"
