source,name,price,seller,link,scraped_at
flipkart,"Bestor Set of 5 Combo,USB Wired Keyboard,Wire Mouse,Mou... Black 3.7 (18,140)",684,,https://www.flipkart.com/bestor-set-5-combo-usb-wired-keyboard-wire-mouse-mouse-pad-typec-converter-4port-hub-combo/p/itm8c5fe91be4c2e,2026-09-20T12:35:58.030223+00:00
flipkart,"Henture Prodot Keyboard, Mouse and usb Hub , mouse pad ... Black 3.7 (11,498)",748,,https://www.flipkart.com/henture-prodot-keyboard-mouse-usb-hub-pad-otg-cable-combo-set/p/itm4769e37264911,2026-09-20T12:35:58.030259+00:00
flipkart,PRODOT Set of 3 High-Performance Floated Key Keyboard A... Black 3.6 (252),554,,https://www.flipkart.com/prodot-set-3-high-performance-floated-key-keyboard-mouse-combo-usb-hub/p/itm186d6acf08909,2026-09-20T12:35:58.030267+00:00
flipkart,"ZEBRONICS K20 Wired Keyboard, AlexMouse and Mouse Pad (... Multicolor 4 (135)",500,,https://www.flipkart.com/zebronics-k20-wired-keyboard-alexmouse-mouse-pad-set-3-combo-set/p/itme4899b7f60b8a,2026-09-20T12:35:58.030272+00:00
flipkart,Frontech Wireless Keyboard & Mouse Combo | 2.4GHz | 160... Black 3.6 (727),738,,https://www.flipkart.com/frontech-wireless-keyboard-mouse-combo-2-4ghz-1600-dpi-104-keys-power-saving-set/p/itm4b8e77ba227a4,2026-09-20T12:35:58.030277+00:00
flipkart,"Henture 5-in-1 Gaming Keyboard and Mouse Combo with USB... Black 3.7 (5,323)",744,,https://www.flipkart.com/henture-5-in-1-gaming-keyboard-mouse-combo-usb-hub-otg-cable-pad-set/p/itme3970164316aa,2026-09-20T12:35:58.030281+00:00
flipkart,deved Portable Keyboard and Mouse Combo | Water Resista... Multicolor,904,,https://www.flipkart.com/deved-portable-keyboard-mouse-combo-water-resistant-multicolor-set/p/itmfb7feda7c1e73,2026-09-20T12:35:58.030286+00:00
flipkart,deved Wireless Wireless Keyboard Mouse Set | High Preci... Multicolor,904,,https://www.flipkart.com/deved-wireless-keyboard-mouse-set-high-precision-multicolor-combo/p/itma42c5db4e883b,2026-09-20T12:35:58.030290+00:00
flipkart,Frontech Neo Ranger 3-in-1 Gaming Combo –RGB LED Keyboa... Multicolor 3.8 (521),668,,https://www.flipkart.com/frontech-neo-ranger-3-in-1-gaming-combo-rgb-led-keyboard-1200-dpi-mouse-pad-set/p/itm724163300aa8a,2026-09-20T12:35:58.030295+00:00
flipkart,zebion Viking Wired Keyboard + Wired Optical Mouse Comb... Black 4 (92),455,,https://www.flipkart.com/zebion-viking-wired-keyboard-optical-mouse-combo-set/p/itme0a3055cbfcce,2026-09-20T12:35:58.030300+00:00
flipkart,"Bestor Set of 5 Combo,USB Wired Keyboard,Wire Mouse,Mou... Black 3.3 (19)",1140,,https://www.flipkart.com/bestor-set-5-combo-usb-wired-keyboard-wire-mouse-mouse-pad-card-reader-4port-hub-combo/p/itmf8a6258f1866a,2026-09-20T12:36:12.562783+00:00
flipkart,Lenovo 110 USB-A Wired Combo Combo Set Black 4.4 (239),807,,https://www.flipkart.com/lenovo-110-usb-a-wired-combo-set/p/itmfb13bd7ae49ef,2026-09-20T12:36:12.562818+00:00
flipkart,"Frontech KB-0039 Wired Super Design Gaming Keyboard and... Black 3.9 (3,134)",838,,https://www.flipkart.com/frontech-kb-0039-wired-super-design-gaming-keyboard-optical-mouse-rgb-backlight-combo-set/p/itmed9a701cd59f6,2026-09-20T12:36:12.562826+00:00
flipkart,"RAEGR RapidGear X30 Wired Rainbow Backlight Keyboard an... Black 4.2 (4,086)",899,,https://www.flipkart.com/raegr-rapidgear-x30-wired-rainbow-backlight-keyboard-1200-dpi-mouse-combo-set-designed-gaming/p/itmf804d5f5b1f70,2026-09-20T12:36:12.562833+00:00
flipkart,zebion K500 keyboard + Dazzle Mouse + Pronto 101 USB HU... Black 3.7 (197),585,,https://www.flipkart.com/zebion-k500-keyboard-dazzle-mouse-pronto-101-usb-hub-combo-set/p/itma8fe20dbcbe5d,2026-09-20T12:36:12.562838+00:00
flipkart,"Bestor Set of 3 Combo,USB Wired Keyboard,Wire Mouse,Mou... Black 3.7 (23)",500,,https://www.flipkart.com/bestor-set-3-combo-usb-wired-keyboard-wire-mouse-mouse-pad-laptop-computer-combo/p/itmb0d16b9dde7e1,2026-09-20T12:36:12.562844+00:00
flipkart,"ZEBRONICS K20 Wired Keyboard, Rise Wired Optical Mouse ... Multicolor 3 (8)",500,,https://www.flipkart.com/zebronics-k20-wired-keyboard-rise-optical-mouse-pad-combo-set/p/itmccc9f81d55f71,2026-09-20T12:36:12.562849+00:00
flipkart,deved Ultra Slim Keyboard Mouse Combo | Multi Device | ... Multicolor,904,,https://www.flipkart.com/deved-ultra-slim-keyboard-mouse-combo-multi-device-multicolor-set/p/itmf3de2e13bdda8,2026-09-20T12:36:23.565662+00:00
flipkart,deved Bluetooth Wireless Keyboard Mouse Set | for Mac |... Multicolor 2 (3),900,,https://www.flipkart.com/deved-bluetooth-wireless-keyboard-mouse-set-mac-multicolor-combo/p/itm71e36447a9012,2026-09-20T12:36:23.565694+00:00
flipkart,deved Ultra Slim Bluetooth Keyboard and Mouse Combo | 2... Multicolor,904,,https://www.flipkart.com/deved-ultra-slim-bluetooth-keyboard-mouse-combo-2-4ghz-multicolor-set/p/itm6486515022ca4,2026-09-20T12:36:23.565704+00:00
