source,name,price,seller,link,scraped_at,searched_for_gem_id,searched_for_gem_link
flipkart,FINGERS SoundReflex W5 Wired 3.9 (112),325,,https://www.flipkart.com/fingers-soundreflex-w5-wired/p/itm57982892970cb,2026-09-21T03:35:48.445839+00:00,3,https://mkp.gem.gov.in/computer-mouse/superhit-wired/p-5116877-38356973538-cat.html
flipkart,FINGERS SoundGlitz Wired 3.8 (125),299,,https://www.flipkart.com/fingers-soundglitz-wired/p/itm6d137e2b0cc6a,2026-09-21T03:35:48.445856+00:00,3,https://mkp.gem.gov.in/computer-mouse/superhit-wired/p-5116877-38356973538-cat.html
flipkart,FINGERS SoundGlitz2 Wired 3.5 (38),345,,https://www.flipkart.com/fingers-soundglitz2-wired/p/itmb9ce9a84f2a5e,2026-09-21T03:35:48.445859+00:00,3,https://mkp.gem.gov.in/computer-mouse/superhit-wired/p-5116877-38356973538-cat.html
flipkart,NEELKANTH CREATIONS Wired Earphone Type-C with Loud Sou... 2.9 (11),242,,https://www.flipkart.com/neelkanth-creations-wired-earphone-type-c-loud-sound-deep-base-calling-mic-tangle-free/p/itm454dfa50323db,2026-09-21T03:35:48.445871+00:00,3,https://mkp.gem.gov.in/computer-mouse/superhit-wired/p-5116877-38356973538-cat.html
flipkart,REALFIT 3.5mm Jack Earphones Super Bass Hands-Free with... 3.6 (42),222,,https://www.flipkart.com/realfit-3-5mm-jack-earphones-super-bass-hands-free-fabric-cable-wired/p/itm2c4f9b72c31b4,2026-09-21T03:35:48.445874+00:00,3,https://mkp.gem.gov.in/computer-mouse/superhit-wired/p-5116877-38356973538-cat.html
flipkart,"HP 115 / 1600 DPI Optical Tracking, Ambidextrous Wired ... 4.4 (81)",448,,https://www.flipkart.com/hp-115-1600-dpi-optical-tracking-ambidextrous-wired-mouse/p/itm7facac3782968,2026-09-21T03:38:18.232122+00:00,5,https://mkp.gem.gov.in/computer-mouse/hp-115-wired-mouse-india/p-5116877-27955669569-cat.html
flipkart,HP 115 USB SET OF 4 Wired Ambidextrous Optical Mouse,1349,,https://www.flipkart.com/hp-115-usb-set-4-wired-ambidextrous-optical-mouse/p/itm66c05627a4b7a,2026-09-21T03:38:18.232136+00:00,5,https://mkp.gem.gov.in/computer-mouse/hp-115-wired-mouse-india/p-5116877-27955669569-cat.html
flipkart,Bestseller,149,,https://www.flipkart.com/portronics-toad-101-wired-ambidextrous-optical-mouse-1200-dpi-1-25m-cable-length-30-lakh-clicks-life/p/itm95ffe39ec08fc,2026-09-21T03:38:18.232138+00:00,5,https://mkp.gem.gov.in/computer-mouse/hp-115-wired-mouse-india/p-5116877-27955669569-cat.html
flipkart,Bestseller,299,,https://www.flipkart.com/dell-ms116-wired-ambidextrous-optical-mouse-pc-mac-compatibility/p/itmd5b52898f0dc4,2026-09-21T03:38:18.232140+00:00,5,https://mkp.gem.gov.in/computer-mouse/hp-115-wired-mouse-india/p-5116877-27955669569-cat.html
flipkart,EVM Wired Ambidextrous Mouse|1200 DPI|Ergonomic Design|...,159,,https://www.flipkart.com/evm-wired-ambidextrous-mouse-1200-dpi-ergonomic-design-1-1m-cable-high-performance-ergonomic-optical-mouse/p/itm221184cab38c8,2026-09-21T03:38:18.232142+00:00,5,https://mkp.gem.gov.in/computer-mouse/hp-115-wired-mouse-india/p-5116877-27955669569-cat.html
flipkart,"Arctic Fox Breathing Lights and DPI Upto 3600 Wired Amb... 4.3 (43,802)",252,,https://www.flipkart.com/arctic-fox-breathing-lights-dpi-upto-3600-wired-ambidextrous-optical-gaming-mouse/p/itmcdac7e0d67fca,2026-09-21T03:38:58.628788+00:00,6,https://mkp.gem.gov.in/computer-mouse/tvs-champ-m120-mouse-1year-warranty/p-5116877-19214623695-cat.html
flipkart,"KITECH M10 Wired Ambidextrous Optical Mouse 3.8 (1,074)",118,,https://www.flipkart.com/kitech-m10-wired-ambidextrous-optical-mouse/p/itm7c574c2032ff3,2026-09-21T03:38:58.628802+00:00,6,https://mkp.gem.gov.in/computer-mouse/tvs-champ-m120-mouse-1year-warranty/p-5116877-19214623695-cat.html
flipkart,"ZEBRONICS Pulse Ambidextrous Optical Mouse 1200DPI, Dua... 4.1 (14,369)",299,,https://www.flipkart.com/zebronics-pulse-ambidextrous-optical-mouse-1200dpi-dual-bt-multi-connect-lightweight-comfort/p/itm95ea8032bd846,2026-09-21T03:38:58.628805+00:00,6,https://mkp.gem.gov.in/computer-mouse/tvs-champ-m120-mouse-1year-warranty/p-5116877-19214623695-cat.html
flipkart,HP 110 WIRED MOUSE Wired Ambidextrous Optical  Gaming M... 4.2 (60),449,,https://www.flipkart.com/hp-110-wired-mouse-ambidextrous-optical-gaming/p/itm20fc8f6d5e550,2026-09-21T03:38:58.628807+00:00,6,https://mkp.gem.gov.in/computer-mouse/tvs-champ-m120-mouse-1year-warranty/p-5116877-19214623695-cat.html
flipkart,ABC RGB USB Wired Gaming Mouse 3200 DPI Optical Mouse f... 2.7 (3),369,,https://www.flipkart.com/abc-rgb-usb-wired-gaming-mouse-3200-dpi-optical-pc-laptop-offic-right-handed/p/itmcfd5bb6e678dd,2026-09-21T03:38:58.628809+00:00,6,https://mkp.gem.gov.in/computer-mouse/tvs-champ-m120-mouse-1year-warranty/p-5116877-19214623695-cat.html
flipkart,"PRODOT Curvy USB Wired Mouse 1000 DPI Wired Ergonomic L... USB 2.0, USB 3.0, Black",248,,https://www.flipkart.com/prodot-curvy-usb-wired-mouse-1000-dpi-ergonomic-laser/p/itmbea080d885919,2026-09-21T03:39:32.637468+00:00,7,https://mkp.gem.gov.in/computer-mouse/prodot-mu-curvy-usb-wired/p-5116877-40060692215-cat.html
flipkart,PRODOT 217 Mini Wired Keyboard And Mouse Combo With USB... Black 3.5 (42),554,,https://www.flipkart.com/prodot-217-mini-wired-keyboard-mouse-combo-usb-hub-set/p/itm77ecaac78af2a,2026-09-21T03:39:32.637482+00:00,7,https://mkp.gem.gov.in/computer-mouse/prodot-mu-curvy-usb-wired/p-5116877-40060692215-cat.html
flipkart,"PAC Micro USB Cable 1.5 m 1.5 Meter A/F 3.0 Extension Compatible with Computer, TV, Laptop, Black, NA 3.6 (10)",269,,https://www.flipkart.com/pac-micro-usb-cable-1-5-m-meter-a-f-3-0-extension/p/itmehaghh9es4qst,2026-09-21T03:39:32.637485+00:00,7,https://mkp.gem.gov.in/computer-mouse/prodot-mu-curvy-usb-wired/p-5116877-40060692215-cat.html
flipkart,"PAC Micro USB Cable 2 A 1.5 m PP 30cm USB 2.0 Male to F... Compatible with WALL FACEPLATE, SWITCH BOXES, PC, PRINTER, PROJECTOR, Black, One Cable, USB Type A To Micro USB 4.3 (4)",163,,https://www.flipkart.com/pac-micro-usb-cable-2-1-5-m-pp-30cm-2-0-male-female-extension-panel-mount-screw/p/itm4e6c01b394e07,2026-09-21T03:39:32.637487+00:00,7,https://mkp.gem.gov.in/computer-mouse/prodot-mu-curvy-usb-wired/p-5116877-40060692215-cat.html
flipkart,PRODOT Hindi Devanagari (English to HIndi Typing)| with... Black 3.9 (202),525,,https://www.flipkart.com/prodot-hindi-devanagari-english-typing-rupee-key-ergonomic-design-wired-usb-standard-laptop-keyboard-compatible-desktop-laptop-mac/p/itme991a0ece2afa,2026-09-21T03:39:32.637489+00:00,7,https://mkp.gem.gov.in/computer-mouse/prodot-mu-curvy-usb-wired/p-5116877-40060692215-cat.html
flipkart,Lenovo 120 Wired Ambidextrous Optical Mouse wired mouse 4.4 (449),293,,https://www.flipkart.com/lenovo-120-wired-ambidextrous-optical-mouse/p/itm5e80fe0171200,2026-09-21T03:39:56.067995+00:00,8,https://mkp.gem.gov.in/computer-mouse/hp-115-wireless-mouse-india/p-5116877-78105006144-cat.html
