source,name,price,seller,link,scraped_at
flipkart,"EVM EWLM-360 Wireless Ambidextrous Optical Mouse Dual-M... Type C, Grey 4.3 (13)",459,,https://www.flipkart.com/evm-ewlm-360-wireless-ambidextrous-optical-mouse-dual-mode-wireless-1600-dpi-bluetooth/p/itmc670c5c78425b,2026-09-20T12:34:40.722632+00:00
flipkart,Bestseller,272,,https://www.flipkart.com/zebronics-jaguar-ambidextrous-optical-mouse-high-precision-4-buttons-plug-play/p/itmcde0156fb6e24,2026-09-20T12:34:40.722678+00:00
flipkart,"ZEBRONICS Jaguar Ambidextrous Optical Mouse High Precis... 2.4GHz Wireless, Black 4.2 (44,740)",288,,https://www.flipkart.com/zebronics-jaguar-ambidextrous-optical-mouse-high-precision-4-buttons-plug-play-usb-nano-receiver/p/itmcde0156fb6e24,2026-09-20T12:34:40.722690+00:00
flipkart,"ZEBRONICS Pulse Ambidextrous Optical Mouse 1200DPI, Dua... 2.4GHz Wireless, Bluetooth, Black 4.1 (14,369)",299,,https://www.flipkart.com/zebronics-pulse-ambidextrous-optical-mouse-1200dpi-dual-bt-multi-connect-lightweight-comfort/p/itm95ea8032bd846,2026-09-20T12:34:40.722698+00:00
flipkart,"SAVI Transparent Slim Dual Mode Mouse Wireless Ergonomi... USB 2.0, Black",652,,https://www.flipkart.com/savi-transparent-slim-dual-mode-mouse-wireless-ergonomic-optical-bluetooth/p/itmab9e0f08b4f9d,2026-09-20T12:34:40.722706+00:00
flipkart,"Tizum Archer Tech Lab Bluetooth Wireless Pro Gaming Mou... 2.4GHz Wireless, Bluetooth, Type C, Purple 4 (2)",1297,,https://www.flipkart.com/tizum-archer-tech-lab-bluetooth-wireless-pro-gaming-mouse-ergonomic-optical/p/itm489376a23f01e,2026-09-20T12:34:40.722713+00:00
flipkart,"ZEBRONICS Jaguar Ambidextrous Optical Mouse High Precis... 2.4GHz Wireless, White 4.2 (44,740)",329,,https://www.flipkart.com/zebronics-jaguar-ambidextrous-optical-mouse-high-precision-4-buttons-plug-play/p/itmcde0156fb6e24,2026-09-20T12:34:40.722719+00:00
flipkart,"Portronics Toad 13 Ambidextrous Optical Mouse Runs on s... 2.4GHz Wireless, Black 4.1 (83,928)",339,,https://www.flipkart.com/portronics-toad-13-ambidextrous-optical-mouse-runs-single-aa-battery-30-lakhs-click-life-upto-1200-dpi-por-1381/p/itm540d626cfb0c8,2026-09-20T12:34:40.722725+00:00
flipkart,"Arctic Fox Pureview Transparent Ambidextrous Optical  G... 2.4GHz Wireless, Bluetooth, Space Gray 4.5 (19,433)",659,,https://www.flipkart.com/arctic-fox-pureview-transparent-ambidextrous-optical-gaming-mouse/p/itmd28f9c343e04e,2026-09-20T12:34:40.722731+00:00
flipkart,"ZEBRONICS Glassy 10 Ambidextrous Optical Mouse Upto 160... 2.4GHz Wireless, Bluetooth, Black 3.9 (2,208)",449,,https://www.flipkart.com/zebronics-glassy-10-ambidextrous-optical-mouse-upto-1600-dpi-5-buttons-type-c-charging-comfortable-ergonomic/p/itm3b1bdfe77db84,2026-09-20T12:34:40.722737+00:00
flipkart,"Portronics Toad 8 Ambidextrous Optical Mouse Transparen... 2.4GHz Wireless, Bluetooth, White 4.5 (2,970)",579,,https://www.flipkart.com/portronics-toad-8-ambidextrous-optical-mouse-transparent-rechargeable-silent-multi-device-pairing-show-hide-desktop-feature/p/itm534bbac1f2af1,2026-09-20T12:34:56.421911+00:00
flipkart,"ZEBRONICS ZEB-KM-2100 Wired USB Standard Desktop Keyboa... Black 4 (11,950)",299,,https://www.flipkart.com/zebronics-zeb-km-2100-wired-usb-standard-desktop-keyboard-compatible-desktop-laptop-mac-dedicated-multimedia-hotkeys-retractable-ergonomic-tilt-stand/p/itme4d7408f2405e,2026-09-20T12:34:56.421941+00:00
flipkart,"ZEBRONICS Power Wired Ambidextrous Optical Mouse USB 2.0, Black 4.2 (22,931)",149,,https://www.flipkart.com/zebronics-power-wired-ambidextrous-optical-mouse/p/itmbc00c58ebf0f0,2026-09-20T12:34:56.421951+00:00
flipkart,"EVM EWLM-540 Ambidextrous Optical Mouse 2.4GHz Wireless, Blue & White",359,,https://www.flipkart.com/evm-ewlm-540-ambidextrous-optical-mouse/p/itm66a367a8ef902,2026-09-20T12:34:56.421959+00:00
flipkart,"Frontech Wireless Mini Keyboard | 78 Functional Hot Key... White&Blue 4 (1,778)",448,,https://www.flipkart.com/frontech-wireless-mini-keyboard-78-functional-hot-keys-120mah-rechargeable-battery-bluetooth-standard-laptop-compatible/p/itmbbd19858df744,2026-09-20T12:34:56.421967+00:00
flipkart,"Portronics Toad One Ambidextrous Optical Mouse with 6 B... 2.4GHz Wireless, Bluetooth, White 4.4 (20,568)",699,,https://www.flipkart.com/portronics-toad-one-ambidextrous-optical-mouse-6-buttons-rgb-lights-rechargeable/p/itm99135cb40a438,2026-09-20T12:34:56.421974+00:00
flipkart,"HP m10 Wired Ambidextrous Optical Mouse USB 3.0, Black 4.3 (2,343)",289,,https://www.flipkart.com/hp-m10-wired-ambidextrous-optical-mouse/p/itma6282f8553840,2026-09-20T12:34:56.421980+00:00
flipkart,"Portronics Toad 23 Ambidextrous Optical Mouse POR 1831,... 2.4GHz Wireless, White 4.2 (16,877)",319,,https://www.flipkart.com/portronics-toad-23-ambidextrous-optical-mouse-por-1831-adjustable-dpi-usb-nano-dongle/p/itmb20804afe57ec,2026-09-20T12:34:56.421987+00:00
flipkart,"ZEBRONICS Zeb Panther Ambidextrous Optical Mouse 1600DP... 2.4GHz Wireless, Purple 4.1 (1,678)",399,,https://www.flipkart.com/zebronics-zeb-panther-ambidextrous-optical-mouse-1600dpi-silent-ergonomic-power-saving-precision/p/itm5d497c5e6b8a9,2026-09-20T12:35:11.165088+00:00
flipkart,"Acer ClearView Ambidextrous Optical Mouse Transparent R... 2.4GHz Wireless, Bluetooth, USB 2.0, USB 3.0, Grey 4.4 (1,303)",598,,https://www.flipkart.com/acer-clearview-ambidextrous-optical-mouse-transparent-rechargeable-mouse-grey/p/itm895b5d4e85a76,2026-09-20T12:35:11.165121+00:00
