source,name,price,price_type,seller,link,scraped_at
gem,Unbranded Bearing Steel Polished Fan …,20.00,fixed,Resellers,https://mkp.gem.gov.in/fan-bearing/bearing/p-5116877-64595418525-cat.html,2026-09-21T09:41:47.288397+00:00
gem,Unbranded Bearing Steel Polished Fan …,22.99,fixed,Resellers,https://mkp.gem.gov.in/fan-bearing/hrb-bearing-6201zz/p-5116877-37016787946-cat.html,2026-09-21T09:41:47.288441+00:00
gem,Unbranded Bearing Steel Polished Fan …,25.00,fixed,Resellers,https://mkp.gem.gov.in/fan-bearing/bearing/p-5116877-27206842234-cat.html,2026-09-21T09:41:47.288456+00:00
gem,Unbranded Bearing Steel Polished Fan …,25.99,fixed,Resellers,https://mkp.gem.gov.in/fan-bearing/ball-bearing-6001zz/p-5116877-78669938317-cat.html,2026-09-21T09:41:47.288467+00:00
gem,Unbranded Bearing Steel Powder Coated Fan …,28.50,fixed,Resellers,https://mkp.gem.gov.in/fan-bearing/bearing/p-5116877-95552661025-cat.html,2026-09-21T09:41:47.288478+00:00
gem,Unbranded Bearing Steel Polished Fan …,30.00,fixed,Resellers,https://mkp.gem.gov.in/fan-bearing/hrb-ball-bearing-6002/p-5116877-44680524204-cat.html,2026-09-21T09:41:47.288487+00:00
gem,Unbranded Bearing Steel Polished Fan …,42.00,fixed,Resellers,https://mkp.gem.gov.in/fan-bearing/bearing-steel-polished-fan-bearing-warranty-3-month/p-5116877-80647975192-cat.html,2026-09-21T09:41:47.288497+00:00
gem,Unbranded Stainless Steel Galvanized Fan …,49.00,fixed,Resellers,https://mkp.gem.gov.in/fan-bearing/unbranded-bearing-steel-fan/p-5116877-60693421946-cat.html,2026-09-21T09:41:47.288505+00:00
gem,STC SHITAL TRADING CO. Bearing Steel …,52.00,fixed,Resellers,https://mkp.gem.gov.in/fan-bearing/fan-bearing/p-5116877-9787387654-cat.html,2026-09-21T09:41:47.288513+00:00
gem,Unbranded Bearing Steel Polished Fan …,60.00,fixed,Resellers,https://mkp.gem.gov.in/fan-bearing/fan-bearing/p-5116877-34158786570-cat.html,2026-09-21T09:41:47.288521+00:00
