source,name,price,price_type,seller,link,scraped_at
gem,OBERA Wired Computer Mouse,250.00,fixed,Resellers,https://mkp.gem.gov.in/computer-mouse/obera-wired-gk100/p-5116877-2748115046-cat.html,2026-09-20T12:32:09.245655+00:00
gem,LAPCARE Wired Computer Mouse,250.00,fixed,Resellers,https://mkp.gem.gov.in/computer-mouse/lapcare-l70-plus/p-5116877-18283206337-cat.html,2026-09-20T12:32:09.245677+00:00
gem,fingers Wired Computer Mouse,250.00,fixed,Resellers,https://mkp.gem.gov.in/computer-mouse/superhit-wired/p-5116877-38356973538-cat.html,2026-09-20T12:32:09.245683+00:00
gem,LAPCARE Wireless Computer Mouse,250.00,fixed,Resellers,https://mkp.gem.gov.in/computer-mouse/lapcare-safari-iii-lwm-003/p-5116877-62172822837-cat.html,2026-09-20T12:32:09.245687+00:00
gem,hp Wired Computer Mouse,250.00,fixed,Resellers,https://mkp.gem.gov.in/computer-mouse/hp-115-wired-mouse-india/p-5116877-27955669569-cat.html,2026-09-20T12:32:09.245691+00:00
gem,TVS ELECTRONICS Wired Computer Mouse,250.00,fixed,Resellers,https://mkp.gem.gov.in/computer-mouse/tvs-champ-m120-mouse-1year-warranty/p-5116877-19214623695-cat.html,2026-09-20T12:32:09.245696+00:00
gem,ProDot Wired Computer Mouse,250.00,fixed,Resellers,https://mkp.gem.gov.in/computer-mouse/prodot-mu-curvy-usb-wired/p-5116877-40060692215-cat.html,2026-09-20T12:32:09.245701+00:00
gem,hp Wireless Computer Mouse,256.00,fixed,Resellers,https://mkp.gem.gov.in/computer-mouse/hp-115-wireless-mouse-india/p-5116877-78105006144-cat.html,2026-09-20T12:32:09.245704+00:00
gem,ZEBRONICS Bluetooth (with USB Receiver) …,600.00,fixed,Resellers,https://mkp.gem.gov.in/keyboards-mouse-combo-v2/wireless-keyboard-mouse-combo/p-5116877-67490638364-cat.html,2026-09-20T12:32:14.723257+00:00
gem,LAPCARE USB Type A Wired Keyboard + Wired …,600.00,fixed,Resellers,https://mkp.gem.gov.in/keyboards-mouse-combo-v2/lapcare-magma-lmk-105/p-5116877-66004949741-cat.html,2026-09-20T12:32:14.723292+00:00
gem,ProDot USB Type A Wired Keyboard + Wired …,600.00,fixed,Resellers,https://mkp.gem.gov.in/keyboards-mouse-combo-v2/prodot-trc-207-comfy-usb/p-5116877-40233959075-cat.html,2026-09-20T12:32:14.723300+00:00
gem,fingers USB Type A Wired Keyboard + Wired …,638.00,fixed,Resellers,https://mkp.gem.gov.in/keyboards-mouse-combo-v2/velvet-combo-c4-pearl-grey-white/p-5116877-27212229148-cat.html,2026-09-20T12:32:14.723307+00:00
gem,ZEBRONICS RF (with USB Receiver) Wireless …,645.00,fixed,Resellers,https://mkp.gem.gov.in/keyboards-mouse-combo-v2/wireless-keyboard-mouse-combo/p-5116877-2346008536-cat.html,2026-09-20T12:32:14.723343+00:00
gem,OBERA USB Type A Wired Keyboard + Wired Mouse,650.00,fixed,Resellers,https://mkp.gem.gov.in/keyboards-mouse-combo-v2/wired-keyboard-mouse-combo/p-5116877-69088907409-cat.html,2026-09-20T12:32:14.723349+00:00
gem,ZEBRONICS Bluetooth (with USB Receiver) …,690.97,fixed,Resellers,https://mkp.gem.gov.in/keyboards-mouse-combo-v2/wireless-keyboard-mouse-combo/p-5116877-84735513648-cat.html,2026-09-20T12:32:14.723411+00:00
gem,LAPCARE RF (with USB Receiver) Wireless …,750.00,fixed,Resellers,https://mkp.gem.gov.in/keyboards-mouse-combo-v2/lapcare-wireless-combo-wl-204/p-5116877-44489942236-cat.html,2026-09-20T12:32:14.723417+00:00
gem,ProDot RF (with USB Receiver) Wireless …,750.00,fixed,Resellers,https://mkp.gem.gov.in/keyboards-mouse-combo-v2/prodot-wlc-sparsh/p-5116877-98908398107-cat.html,2026-09-20T12:32:14.723423+00:00
gem,fingers USB Type A Wired Keyboard + Wired …,790.00,fixed,Resellers,https://mkp.gem.gov.in/keyboards-mouse-combo-v2/cheesyduo-d3/p-5116877-14112363918-cat.html,2026-09-20T12:32:14.723429+00:00
gem,LAPCARE Non Mechanical Wired Computer …,300.00,fixed,Resellers,https://mkp.gem.gov.in/computer-keyboards/lapcare-lmk-012/p-5116877-95737280995-cat.html,2026-09-20T12:32:21.370950+00:00
gem,ProDot Non Mechanical Wired Computer Keyboard,300.00,fixed,Resellers,https://mkp.gem.gov.in/computer-keyboards/prodot-kb-297rs-malayalam-regional-usb-keyboard-with/p-5116877-79641753191-cat.html,2026-09-20T12:32:21.370971+00:00
