source,name,price,price_type,seller,link,scraped_at
gem,DUGONG High End Desktop Computer with …,22500.00,fixed,Resellers,https://mkp.gem.gov.in/high-end-desktop-computer/dugong-proscenium/p-5116877-87432716629-cat.html,2026-09-20T12:31:10.255479+00:00
gem,CYNIX High End Desktop Computer with …,22500.00,fixed,Resellers,https://mkp.gem.gov.in/high-end-desktop-computer/cynix-high-end-desktop-computer-with-warranty-3/p-5116877-77516934120-cat.html,2026-09-20T12:31:10.255499+00:00
gem,INP High End Desktop Computer with Warranty …,22500.00,fixed,Resellers,https://mkp.gem.gov.in/high-end-desktop-computer/high-end-desktop-computer/p-5116877-52198672329-cat.html,2026-09-20T12:31:10.255503+00:00
gem,VOLTRIQ High End Desktop Computer with …,22500.00,fixed,Resellers,https://mkp.gem.gov.in/high-end-desktop-computer/voltriq/p-5116877-30542760010-cat.html,2026-09-20T12:31:10.255507+00:00
gem,hp High End Desktop Computer with Warranty 3 …,22500.00,fixed,Resellers,https://mkp.gem.gov.in/high-end-desktop-computer/hp-prodesk-4-g1i-u7-265-dos-3213/p-5116877-52284927529-cat.html,2026-09-20T12:31:10.255511+00:00
gem,hp High End Desktop Computer with Warranty 5 …,22500.00,fixed,Resellers,https://mkp.gem.gov.in/high-end-desktop-computer/hp-280-g9-mt-i7-14700-dos-161pcie5/p-5116877-52658414214-cat.html,2026-09-20T12:31:10.255514+00:00
gem,hp Entry Level Desktop Computer with …,22242.00,fixed,Resellers,https://mkp.gem.gov.in/entry-mid-level-desktop-computer/hp-280-g9-sff-i3-12100-win11p-32113/p-5116877-78229435127-cat.html,2026-09-20T12:31:14.396256+00:00
gem,acer Entry Level Desktop Computer with …,22243.00,fixed,Resellers,https://mkp.gem.gov.in/entry-mid-level-desktop-computer/core-i3-12100-h610-win-11-pro-16gb/p-5116877-33665087228-cat.html,2026-09-20T12:31:14.396304+00:00
gem,INP Mid Level Desktop Computer with Warranty …,22828.00,fixed,Resellers,https://mkp.gem.gov.in/entry-mid-level-desktop-computer/mid-level-desktop-computer/p-5116877-19375129805-cat.html,2026-09-20T12:31:14.396314+00:00
gem,Consistent Mid Level Desktop Computer with …,25000.00,fixed,OEM,https://mkp.gem.gov.in/entry-mid-level-desktop-computer/consistent-mid-level-desktop-computer/p-5116877-60048590643-cat.html,2026-09-20T12:31:14.396321+00:00
gem,Zenix Entry Level Desktop Computer with …,26666.00,fixed,Resellers,https://mkp.gem.gov.in/entry-mid-level-desktop-computer/entry-mid-level-desktop-computer-1-general-information/p-5116877-24290731518-cat.html,2026-09-20T12:31:14.396329+00:00
gem,VOLTRIQ Mid Level Desktop Computer with …,28000.00,fixed,Resellers,https://mkp.gem.gov.in/entry-mid-level-desktop-computer/voltriq-desktop-computer/p-5116877-5998395704-cat.html,2026-09-20T12:31:14.396337+00:00
gem,acer Entry Level Desktop Computer with …,30200.00,fixed,Resellers,https://mkp.gem.gov.in/entry-mid-level-desktop-computer/veriton-m200-h610-mt/p-5116877-10669852226-cat.html,2026-09-20T12:31:14.396344+00:00
gem,Zenix Mid Level Desktop Computer with …,32000.00,fixed,Resellers,https://mkp.gem.gov.in/entry-mid-level-desktop-computer/zenix-mid-level-pc/p-5116877-86622917994-cat.html,2026-09-20T12:31:14.396358+00:00
gem,hp Entry Level Desktop Computer with …,32000.00,fixed,Resellers,https://mkp.gem.gov.in/entry-mid-level-desktop-computer/hp-280-g9-mt-i3-12100-win11p-16512ssd3/p-5116877-83531616288-cat.html,2026-09-20T12:31:14.396365+00:00
gem,acer Entry Level Desktop Computer with …,33999.00,fixed,Resellers,https://mkp.gem.gov.in/entry-mid-level-desktop-computer/m200-h610-mt/p-5116877-70573724552-cat.html,2026-09-20T12:31:14.396371+00:00
gem,YURAPC YURATECH GLOBAL PRIVATE LIMITED Mid …,36479.00,fixed,Resellers,https://mkp.gem.gov.in/entry-mid-level-desktop-computer/entry-mid-level-desktop-computer/p-5116877-13755719199-cat.html,2026-09-20T12:31:14.396378+00:00
gem,ALGOPLUS Entry Level Desktop Computer with …,36895.00,fixed,Resellers,https://mkp.gem.gov.in/entry-mid-level-desktop-computer/entry-mid-level-desktop-computer/p-5116877-94481001516-cat.html,2026-09-20T12:31:14.396384+00:00
gem,DUGONG Intel Xeon w3 2423 with 32 GB RAM …,80000.00,fixed,Resellers,https://mkp.gem.gov.in/fixed-computer-workstation-v2/dugong-connoisseur-9x/p-5116877-3512840108-cat.html,2026-09-20T12:31:19.051165+00:00
gem,DUGONG Intel Xeon w3 2423 with 16 GB RAM …,80000.00,fixed,Resellers,https://mkp.gem.gov.in/fixed-computer-workstation-v2/dugong-connoisseur-9x/p-5116877-54515726897-cat.html,2026-09-20T12:31:19.051198+00:00
