source,name,price,price_type,seller,link,scraped_at
gem,acer 1024 GB Storage Laptop   Notebook,43700.00,fixed,Resellers,https://mkp.gem.gov.in/high-end-laptop-notebook/tmp214-55-dos-16gb-1tb/p-5116877-3983114067-cat.html,2026-09-20T08:18:01.350206+00:00
gem,OlivLife 1024 GB Storage Laptop   Notebook,48000.00,fixed,OEM,https://mkp.gem.gov.in/high-end-laptop-notebook/olivlife-high-end-laptop-notebook/p-5116877-94198692851-cat.html,2026-09-20T08:18:01.350248+00:00
gem,acer 1024 GB Storage Laptop   Notebook,49000.00,fixed,Resellers,https://mkp.gem.gov.in/high-end-laptop-notebook/travellite-tl14-42m/p-5116877-47986329150-cat.html,2026-09-20T08:18:01.350257+00:00
gem,INP 1024 GB Storage Laptop   Notebook,50000.00,fixed,Resellers,https://mkp.gem.gov.in/high-end-laptop-notebook/high-end-laptop/p-5116877-56444901278-cat.html,2026-09-20T08:18:01.350264+00:00
gem,acer 1024 GB Storage Laptop   Notebook,50000.00,fixed,Resellers,https://mkp.gem.gov.in/high-end-laptop-notebook/travellite-tl14-42m-win-11-home/p-5116877-90303039458-cat.html,2026-09-20T08:18:01.350271+00:00
gem,hp 1024 GB Storage Laptop   Notebook,50000.00,fixed,Resellers,https://mkp.gem.gov.in/high-end-laptop-notebook/hp-245-g9-r7-5825u-win11p-161ssd1-wifi/p-5116877-85314746282-cat.html,2026-09-20T08:18:01.350277+00:00
gem,acer 1024 GB Storage Laptop   Notebook,50999.85,fixed,Resellers,https://mkp.gem.gov.in/high-end-laptop-notebook/travellite-tl14-42m-win-11-pro/p-5116877-75029775323-cat.html,2026-09-20T08:18:01.350283+00:00
gem,acer 1024 GB Storage Laptop   Notebook,56443.00,fixed,Resellers,https://mkp.gem.gov.in/high-end-laptop-notebook/travellite-tl14-52m/p-5116877-70609371513-cat.html,2026-09-20T08:18:01.350288+00:00
gem,INP 1024 GB Storage Laptop   Notebook,59600.00,fixed,Resellers,https://mkp.gem.gov.in/high-end-laptop-notebook/laptop/p-5116877-29191417708-cat.html,2026-09-20T08:18:01.350293+00:00
gem,INP 1024 GB Storage Laptop   Notebook,59800.00,fixed,Resellers,https://mkp.gem.gov.in/high-end-laptop-notebook/high-end-laptop/p-5116877-22005642759-cat.html,2026-09-20T08:18:01.350299+00:00
gem,hp 1024 GB Storage Laptop   Notebook,65000.00,fixed,Resellers,https://mkp.gem.gov.in/high-end-laptop-notebook/hp-440-g11-nb-u5-125u-dos-1611/p-5116877-66852943895-cat.html,2026-09-20T08:18:01.350304+00:00
gem,Getac Regular rugged notebook laptop 12th …,315000.00,fixed,Resellers,https://mkp.gem.gov.in/rugged-notebook-laptop/getac-b360-pro/p-5116877-86053263558-cat.html,2026-09-20T08:18:05.120771+00:00
gem,Getac Regular rugged notebook laptop 12th …,320000.00,fixed,OEM,https://mkp.gem.gov.in/rugged-notebook-laptop/getac-b360-pro/p-5116877-86121169753-cat.html,2026-09-20T08:18:05.120809+00:00
gem,Getac Regular rugged notebook laptop 12th …,504000.00,fixed,Resellers,https://mkp.gem.gov.in/rugged-notebook-laptop/getac-b360/p-5116877-10320785039-cat.html,2026-09-20T08:18:05.120817+00:00
gem,Getac Regular rugged notebook laptop 14th …,599999.00,fixed,Resellers,https://mkp.gem.gov.in/rugged-notebook-laptop/getac-b360/p-5116877-17336366462-cat.html,2026-09-20T08:18:05.120824+00:00
gem,Getac Regular rugged notebook laptop 11th …,600000.00,fixed,OEM,https://mkp.gem.gov.in/rugged-notebook-laptop/getac-x600/p-5116877-4252271257-cat.html,2026-09-20T08:18:05.120831+00:00
gem,Getac Regular rugged notebook laptop 10th …,600000.00,fixed,OEM,https://mkp.gem.gov.in/rugged-notebook-laptop/getac-b360/p-5116877-73177052680-cat.html,2026-09-20T08:18:05.120839+00:00
gem,OlivLife Regular rugged notebook laptop 10th …,600000.00,fixed,OEM,https://mkp.gem.gov.in/rugged-notebook-laptop/olivlife-rugged-notebook-laptop/p-5116877-14017867842-cat.html,2026-09-20T08:18:05.120848+00:00
gem,OlivLife Regular rugged notebook laptop 12th …,600000.00,fixed,OEM,https://mkp.gem.gov.in/rugged-notebook-laptop/olivlife-rugged-notebook-laptop/p-5116877-36916552180-cat.html,2026-09-20T08:18:05.120858+00:00
gem,OlivLife Regular rugged notebook laptop 14th …,600000.00,fixed,OEM,https://mkp.gem.gov.in/rugged-notebook-laptop/olivlife-rugged-notebook-laptop-14th-generation/p-5116877-16491561559-cat.html,2026-09-20T08:18:05.120864+00:00
