source,name,price,price_type,seller,link,scraped_at
gem,"Brady Ferrule Printer, Warranty 1 year",20000.00,fixed,Resellers,https://mkp.gem.gov.in/ferrule-printer/m210-handheld-label-maker/p-5116877-45885145242-cat.html,2026-09-20T08:18:26.826425+00:00
gem,"Brady Ferrule Printer, Warranty 3 year",20000.00,fixed,Resellers,https://mkp.gem.gov.in/ferrule-printer/brady-bbp12-label-printer/p-5116877-98167755985-cat.html,2026-09-20T08:18:26.826455+00:00
gem,"Brady Ferrule Printer, Warranty 2 year",20000.00,fixed,Resellers,https://mkp.gem.gov.in/ferrule-printer/1008-smallhp-printer/p-5116877-8891806826-cat.html,2026-09-20T08:18:26.826465+00:00
gem,"PARTEX Ferrule Printer, Warranty 2 year",20000.00,fixed,Resellers,https://mkp.gem.gov.in/ferrule-printer/printer/p-5116877-63961537530-cat.html,2026-09-20T08:18:26.826477+00:00
gem,"JKIKC Ferrule Printer, Warranty 2 year",20000.00,fixed,Resellers,https://mkp.gem.gov.in/ferrule-printer/printer/p-5116877-82758123785-cat.html,2026-09-20T08:18:26.826484+00:00
gem,"Letatwin Ferrule Printer, Warranty 1 year",20000.00,fixed,Resellers,https://mkp.gem.gov.in/ferrule-printer/max-letatwin-ferrule-printing-machine/p-5116877-47070960131-cat.html,2026-09-20T08:18:26.826490+00:00
gem,"NOVEL Ferrule Printer, Warranty 3 year",20000.00,fixed,Resellers,https://mkp.gem.gov.in/ferrule-printer/ferrule-printer/p-5116877-35871046279-cat.html,2026-09-20T08:18:26.826496+00:00
gem,"Letatwin Ferrule Printer, Warranty 1 year",32000.00,fixed,Resellers,https://mkp.gem.gov.in/ferrule-printer/max-letatwin-ferrule-machine/p-5116877-29878268567-cat.html,2026-09-20T08:18:26.826504+00:00
gem,EPSON A4 Colour Inkjet Computer Printer,7999.00,fixed,Resellers,https://mkp.gem.gov.in/computer-printer-v2/ecotank-l130-single-function-ink-tank-printer/p-5116877-5753020627-cat.html,2026-09-20T08:18:31.335643+00:00
gem,Canon A4 Colour Inkjet Computer Printer,8400.00,fixed,Resellers,https://mkp.gem.gov.in/computer-printer-v2/pixma-g1730/p-5116877-93880201747-cat.html,2026-09-20T08:18:31.335676+00:00
gem,KYOCERa A4 and Legal Monochrome (Black) …,8878.00,fixed,Resellers,https://mkp.gem.gov.in/computer-printer-v2/kyocera-pa-2000w/p-5116877-4429611863-cat.html,2026-09-20T08:18:31.335683+00:00
gem,CWC A4 and Legal Monochrome (Black) Laser …,8880.00,fixed,Resellers,https://mkp.gem.gov.in/computer-printer-v2/cwc-p5020-with-wifi/p-5116877-53149013594-cat.html,2026-09-20T08:18:31.335689+00:00
gem,Canon A4 and Legal Monochrome (Black) Laser …,8999.00,fixed,Resellers,https://mkp.gem.gov.in/computer-printer-v2/lbp6030b-1-year-warranty/p-5116877-576678464-cat.html,2026-09-20T08:18:31.335696+00:00
gem,Canon A4 and Legal Colour Inkjet Computer …,9715.46,fixed,Resellers,https://mkp.gem.gov.in/computer-printer-v2/g1010-with-1-year-warranty/p-5116877-68817132625-cat.html,2026-09-20T08:18:31.335701+00:00
gem,EPSON A4 Monochrome (Black) Inkjet Computer …,9980.00,fixed,Resellers,https://mkp.gem.gov.in/computer-printer-v2/epson-ecotank-m1100-monochrome-inktank-printer/p-5116877-95598110715-cat.html,2026-09-20T08:18:31.335706+00:00
gem,eLY A4 Monochrome (Black) Laser Computer …,9990.00,fixed,Resellers,https://mkp.gem.gov.in/computer-printer-v2/computer-printer/p-5116877-77846927579-cat.html,2026-09-20T08:18:31.335712+00:00
gem,EPSON A4 Colour Inkjet Computer Printer,9998.00,fixed,Resellers,https://mkp.gem.gov.in/computer-printer-v2/epson-ecotank-l1250-a4-wi-fi-ink-tank/p-5116877-96116742923-cat.html,2026-09-20T08:18:31.335718+00:00
gem,eLY A4 Monochrome (Black) Laser Computer …,9999.00,fixed,Resellers,https://mkp.gem.gov.in/computer-printer-v2/computer-printer-v2/p-5116877-19181029797-cat.html,2026-09-20T08:18:31.335724+00:00
gem,KYOCERa A4 and Legal Monochrome (Black) …,11235.00,fixed,Resellers,https://mkp.gem.gov.in/computer-printer-v2/kyocera-ecosys-pa-2000/p-5116877-84039286424-cat.html,2026-09-20T08:18:31.335732+00:00
gem,DCODE Handheld Based / Battery Operated …,2890.00,fixed,OEM,https://mkp.gem.gov.in/receipt-printer-v3/dcode-2inch-mobile-receipt-printer-dc-mp21/p-5116877-53256316399-cat.html,2026-09-20T08:18:34.997509+00:00
