2026-09-21 20:47:01,077 | INFO     | gem_price.db.load_data | load_csvs:119 | processed gem_a4_paper_20260921T085956Z.csv
2026-09-21 20:47:01,077 | INFO     | gem_price.db.load_data | load_csvs:119 | processed gem_a4_paper_20260921T085956Z.csv
2026-09-21 20:47:01,078 | INFO     | gem_price.db.load_data | load_csvs:119 | processed gem_ceiling_fan_1200mm_20260921T094207Z.csv
2026-09-21 20:47:01,078 | INFO     | gem_price.db.load_data | load_csvs:119 | processed gem_ceiling_fan_1200mm_20260921T094207Z.csv
2026-09-21 20:47:01,079 | INFO     | gem_price.db.load_data | load_csvs:119 | processed gem_ceiling_fan_20260921T090209Z.csv
2026-09-21 20:47:01,079 | INFO     | gem_price.db.load_data | load_csvs:119 | processed gem_ceiling_fan_20260921T090209Z.csv
2026-09-21 20:53:08,046 | INFO     | gem_price.db.load_data | load_csvs:128 | processed gem_a4_paper_20260921T085956Z.csv
2026-09-21 20:53:08,046 | INFO     | gem_price.db.load_data | load_csvs:128 | processed gem_a4_paper_20260921T085956Z.csv
2026-09-21 20:53:08,046 | INFO     | gem_price.db.load_data | load_csvs:128 | processed gem_ceiling_fan_1200mm_20260921T094207Z.csv
2026-09-21 20:53:08,046 | INFO     | gem_price.db.load_data | load_csvs:128 | processed gem_ceiling_fan_1200mm_20260921T094207Z.csv
2026-09-21 20:53:08,047 | INFO     | gem_price.db.load_data | load_csvs:128 | processed gem_ceiling_fan_20260921T090209Z.csv
2026-09-21 20:53:08,047 | INFO     | gem_price.db.load_data | load_csvs:128 | processed gem_ceiling_fan_20260921T090209Z.csv
2026-09-21 20:53:08,049 | INFO     | gem_price.db.load_data | load_csvs:128 | processed gem_ceiling_fan_20260921T094147Z.csv
2026-09-21 20:53:08,049 | INFO     | gem_price.db.load_data | load_csvs:128 | processed gem_ceiling_fan_20260921T094147Z.csv
2026-09-21 20:53:08,071 | INFO     | gem_price.db.load_data | load_csvs:128 | processed gem_computer_mouse_20260920T123221Z.csv
2026-09-21 20:53:08,071 | INFO     | gem_price.db.load_data | load_csvs:128 | processed gem_computer_mouse_20260920T123221Z.csv
2026-09-21 20:53:08,094 | INFO     | gem_price.db.load_data | load_csvs:128 | processed gem_desktop_computer_20260920T123119Z.csv
2026-09-21 20:53:08,094 | INFO     | gem_price.db.load_data | load_csvs:128 | processed gem_desktop_computer_20260920T123119Z.csv
2026-09-21 20:53:08,094 | INFO     | gem_price.db.load_data | load_csvs:128 | processed gem_led_bulb_20260921T090149Z.csv
2026-09-21 20:53:08,094 | INFO     | gem_price.db.load_data | load_csvs:128 | processed gem_led_bulb_20260921T090149Z.csv
2026-09-21 20:53:08,096 | INFO     | gem_price.db.load_data | load_csvs:128 | processed gem_notebook_register_20260921T090034Z.csv
2026-09-21 20:53:08,096 | INFO     | gem_price.db.load_data | load_csvs:128 | processed gem_notebook_register_20260921T090034Z.csv
2026-09-21 20:53:08,097 | INFO     | gem_price.db.load_data | load_csvs:128 | processed gem_office_storage_cabinet_20260921T090126Z.csv
2026-09-21 20:53:08,097 | INFO     | gem_price.db.load_data | load_csvs:128 | processed gem_office_storage_cabinet_20260921T090126Z.csv
2026-09-21 20:53:08,112 | INFO     | gem_price.db.load_data | load_csvs:128 | processed flipkart_desktop_computer_20260920T123356Z.csv
2026-09-21 20:53:08,112 | INFO     | gem_price.db.load_data | load_csvs:128 | processed flipkart_desktop_computer_20260920T123356Z.csv
2026-09-21 20:53:08,129 | INFO     | gem_price.db.load_data | load_csvs:128 | processed flipkart_keyboard_mouse_combo_20260920T123628Z.csv
2026-09-21 20:53:08,129 | INFO     | gem_price.db.load_data | load_csvs:128 | processed flipkart_keyboard_mouse_combo_20260920T123628Z.csv
2026-09-21 20:53:08,147 | INFO     | gem_price.db.load_data | load_csvs:128 | processed flipkart_perproduct_20260920T171548Z.csv
2026-09-21 20:53:08,147 | INFO     | gem_price.db.load_data | load_csvs:128 | processed flipkart_perproduct_20260920T171548Z.csv
2026-09-21 20:53:08,151 | INFO     | gem_price.db.load_data | load_csvs:128 | processed flipkart_perproduct_20260921T033206Z.csv
2026-09-21 20:53:08,151 | INFO     | gem_price.db.load_data | load_csvs:128 | processed flipkart_perproduct_20260921T033206Z.csv
2026-09-21 20:53:08,153 | INFO     | gem_price.db.load_data | load_csvs:128 | processed flipkart_perproduct_20260921T090330Z.csv
2026-09-21 20:53:08,153 | INFO     | gem_price.db.load_data | load_csvs:128 | processed flipkart_perproduct_20260921T090330Z.csv
2026-09-21 20:53:08,155 | INFO     | gem_price.db.load_data | load_csvs:128 | processed flipkart_perproduct_20260921T092550Z.csv
2026-09-21 20:53:08,155 | INFO     | gem_price.db.load_data | load_csvs:128 | processed flipkart_perproduct_20260921T092550Z.csv
2026-09-21 20:53:08,171 | INFO     | gem_price.db.load_data | load_csvs:128 | processed flipkart_wireless_mouse_20260920T123516Z.csv
2026-09-21 20:53:08,171 | INFO     | gem_price.db.load_data | load_csvs:128 | processed flipkart_wireless_mouse_20260920T123516Z.csv
2026-09-21 20:53:08,176 | INFO     | gem_price.db.load_data | main:136 | inserted 5 new rows
2026-09-21 20:53:08,176 | INFO     | gem_price.db.load_data | main:136 | inserted 5 new rows
2026-09-21 20:53:08,177 | INFO     | gem_price.db.load_data | main:141 | flipkart: 391
2026-09-21 20:53:08,177 | INFO     | gem_price.db.load_data | main:141 | flipkart: 391
2026-09-21 20:53:08,177 | INFO     | gem_price.db.load_data | main:141 | gem: 70
2026-09-21 20:53:08,177 | INFO     | gem_price.db.load_data | main:141 | gem: 70
